Key,Description,Standard
SAY.flowchart_Game_Chapter_05.1444.,,第六章 \n背后的真相
SAY.flowchart_Game_Chapter_05.1454.,,这个雅克布真的是你的导师吗？\n
SAY.flowchart_Game_Chapter_05.1455.,,当然是啊，怎么？\n
SAY.flowchart_Game_Chapter_05.1456.,,那按照你这样说，他一定是个经验丰富的高人咯。{wc}\n为什么还要去做吧台侍者呢？
SAY.flowchart_Game_Chapter_05.1463.,,因为他十分善于发现每个人的特性，也很乐意和你们年轻人交流。{wc}\n不瞒你说，从你一进到酒吧，雅克布就发现你身上的睿智了。
SAY.flowchart_Game_Chapter_05.1464.,,这。。。原来是他啊。{wc}\n这么说我还得感谢他，让我认识你这么美丽的女神呢。\n
SAY.flowchart_Game_Chapter_05.1465.,,那你待会就多在他那点些酒水，他一定会高兴的。{wc}\n言归正传，你准备好接受真相了么？
SAY.flowchart_Game_Chapter_05.1472.,,一直都在接受啊！女神快快开车！
SAY.flowchart_Game_Chapter_05.1473.,,还记得刚开始我跟你说到的共济会吗？
SAY.flowchart_Game_Chapter_05.1470.,,当然，那个无所不能幕后操控世界的什么团体。{wc}\n成员分布在世界各个大的集团中，暗中制定世界新秩序，{wc}\n控制我们老百姓于无形之中。
SAY.flowchart_Game_Chapter_05.1471.,,好记性啊。{wc}\n我以为我说过一遍你就会忘记了。没想到还记得。
SAY.flowchart_Game_Chapter_05.1468.,,那当然！我天生好记性，呵呵。
SAY.flowchart_Game_Chapter_05.1469.,,好的，那么想知道共济会跟人类诞生的故事有什么联系吗？
SAY.flowchart_Game_Chapter_05.1466.,,卧槽，难道他们真的有所联系？
SAY.flowchart_Game_Chapter_05.1467.,,当然，不然绕这么大一圈干什么。{wc}\n仔细观察现代版本的人类历史，你会发现有很多部分都前后矛盾，{wc}\n或者有些部分干脆被轻描淡写一笔带过。知道是为什么？
SAY.flowchart_Game_Chapter_05.1478.,,不知道啊，{wc}\n难不成共济会为了隐藏秘密故意篡改了历史？
SAY.flowchart_Game_Chapter_05.1479.,,真聪明，的确如此。{wc}\n他们不仅仅篡改了一部分历史，为了掩盖那个不为人知的秘密。{wc}\n这些人几乎篡改了全部的西方古代历史。{wc}\n从新约圣经开始，到古希腊古罗马的历史，统统篡改了。
SAY.flowchart_Game_Chapter_05.1476.,,不了个是吧！？{wc}\n这改动起来可不容易吧，何必要如此大动干戈啊？
SAY.flowchart_Game_Chapter_05.1477.,,这就是问题的关键。{wc}\n人类创世以来，有很多的历史和真相都和现今的观点和学术不同。{wc}\n之前我也说过，你所学到听到的看到的现今世界，都不是真实的。{wc}\n它们都是共济会等团体处心积虑一点点构建出来的幻象。{wc}\n那么共济会等团体背后到底在隐藏一些什么呢？
SAY.flowchart_Game_Chapter_05.1474.,,对啊，到底是为什么呢？\n
SAY.flowchart_Game_Chapter_05.1485.,,让我们再次回到苏美尔时期，根据我们的猜测和考证。{wc}\n人类在被最初创造出来之前。这个世界上只有那些神的存在。{wc}\n他们以各种的形式在这个世界上创造了辉煌且漫长的历史，并不断的演变。{wc}\n而人类的创造，是在比较后期，一个比较敏感的状态下被创造出来的。
SAY.flowchart_Game_Chapter_05.1496.,,苏美尔人类把这些神们称呼为安奴纳奇人。我们也姑且就这么称呼他们吧。{wc}\n安奴纳奇人在这个世界上是一个家族的形式存在的。{wc}\n从最高权力的安，再到他的两个儿子 恩利尔和恩基。{wc}\n再到恩利尔的后代和恩基的后代，他们在这个世界的历史上创造了辉煌的故事。{wc}\n而创造人类的决议也是在众神商议下，在争议中决定下来的。
SAY.flowchart_Game_Chapter_05.1495.,,原来如此啊。
SAY.flowchart_Game_Chapter_05.1494.,,最初的时候，安奴纳奇家族的神族们，他们住在“天上”，{wc}\n一个我们没发到达的“天堂”世界。{wc}\n当天地被分开之际。{wc}\n他们最初是安排恩基来到地面上，进行对大地和海洋的管理和考察。{wc}\n最初的地面和海洋的环境还比较险恶，{wc}\n在恩基一行的安奴纳奇人的精心设计和改造下，逐渐产生了更好的秩序。{wc}\n但是安奴纳奇人毕竟人数有限。{wc}\n很多非常困难和艰险的任务无法靠他们自身的力量去完成。{wc}\n因此在多次和安奴纳奇总部的大神商议下，决定以安奴纳奇人的原型，{wc}\n在大地上利用已有的动物进行基因改造，创造出能力与安奴纳奇人相近的新的物种。{wc}\n安奴纳奇人指派了宁玛，生物工程师，生育女神，配合恩基。{wc}\n在非洲南部的地面上创造出了第一批人类。{wc}\n他们就是最早期的黑人，那时的黑人被创造出来还经过了多次的改造，{wc}\n从无性繁殖到最终形成男性和女性，拥有了生殖能力。{wc}\n成为了最早的第一批alpha人类。{wc}\n这些黑人奴隶被创造出来后，协助安奴纳奇更加快速和高效的治理了世界。{wc}\n让地面和海洋的生态越来越完善。并且，还包揽了更加艰难的采矿工作。{wc}\n所以至今，在非洲大路上都能发现很多难以置信的古老的矿坑，{wc}\n以及里面有上万年历史的黑人骸骨。\n
SAY.flowchart_Game_Chapter_05.1497.,,你是说，等于是 那个宁玛和恩基一起创造了最早的人类？{wc}\n真是太不可思议了。简直想看科幻小说啊。{wc}\n真的难以相信这是人类诞生的真正历史。
SAY.flowchart_Game_Chapter_05.1493.,,的确，这听上去确实很有点科幻小说的意味。{wc}\n但是有很多证据显示，包括分子细胞基因学，都证明人类最早诞生在非洲。{wc}\n并且在及其短的时间，横跨欧非大陆，进入了世界多个地区。{wc}\n有些“科学家”提出了他们大量迁徙过去的。其实这个理论根本站不脚。{wc}\n那个时期的人类根本不具备快速迁徙的能力。{wc}\n很显然，在那个时期，安奴纳奇人拥有极为先进的空间传输工具。{wc}\n这些非洲原始alpha人类，是被大量的传输到了世界的各个角落，{wc}\n帮助他们在那些地址建立文明的。
SAY.flowchart_Game_Chapter_05.1498.,,你是说他们有飞行器或者空间传输的工具？
SAY.flowchart_Game_Chapter_05.1492.,,我这么认为。{wc}\n苏美尔泥板中也详细的描述到了这些大神们拥有非常接近飞机火箭之类的飞行器。{wc}\n所以西琴曾猜测，安奴纳奇人来自外星，一个被记述为尼比鲁的星球。{wc}\n不过目前我们姑且不去细说。因为我们认为西琴在这方面的理解可能是错误的。{wc}\n因为这个话题牵扯到另一个争议的秘密，我在之后的时间再跟你慢慢说明。
SAY.flowchart_Game_Chapter_05.1491.,,我靠，又有秘密啊。{wc}\n好期待的说。
SAY.flowchart_Game_Chapter_05.1499.,,我们刚才已经了解到了，{wc}\n事实上，在地面上很长一段时间都是大神恩基带领的安奴纳奇人团队在管理和发展的。{wc}\n但是作为天空更高的领导角色恩利尔，在人类被大量创造以后，{wc}\n决定带领更多的安奴纳奇人，来到大地上，{wc}\n并且选择了现在的中东地区，美索不达米亚平原地区，开始建立神族们自己可以生活的居所。{wc}\n这就是最早在埃利都的伊甸园，{wc}\n大量人类苦工协助安奴纳奇大神修建了华丽雄伟的神族宫殿和城池。{wc}\n恩利尔开始觉得在人间的生活非常满意，{wc}\n于是开始利用权力排挤恩基的势力，并逐渐的夺走原来属于恩基的权利。{wc}\n作为大地和海洋主宰的恩基大神，显然并不甘心这样的局面。{wc}\n但是恩利尔是自己的兄长，权利确实更大。{wc}\n于是只能接受“组织上”的安排，另外在乌尔建立了自己的城邦。
SAY.flowchart_Game_Chapter_05.1500.,,原来神族们之间也搞内斗啊，{wc}\n跟我们人差不多么。
SAY.flowchart_Game_Chapter_05.1501.,,的确，谁知道我们人类是不是跟神们学会的呢？{wc}\n刚才说的有点零散，我还是尽可能简而言之吧。{wc}\n恩利尔在伊甸园在人类面前树立了自己至高无上的地位。{wc}\n同时为了巩固自己在民众心中的位置。{wc}\n他主动授予了人类农业知识，让人类掌握了耕种的能力。{wc}\n并且创立了神族和人类间的最高法典。{wc}\n严格的约束了人类作为神族的奴隶与神族世界间的界限。{wc}\n未经允许，人类是不可以得到更多的知识的。{wc}\n而在伊甸园中，那些曾经收到过恩基爱戴的人类，依旧对知识有着浓厚的兴趣。{wc}\n因此最终促成了亚当夏娃的故事，一堆人类偷尝禁果。{wc}\n导致恩利尔大怒。将那些人类赶出了伊甸园。{wc}\n并下令，对人类进行彻底的整顿。{wc}\n并且以此为由离开了伊甸园，留下了一片残局。\n
SAY.flowchart_Game_Chapter_05.1502.,,好吧，原来亚当和夏娃是这么回事。
SAY.flowchart_Game_Chapter_05.1508.,,整个整顿的过程，恩基都看在眼里，{wc}\n他虽然从内心对人类的怜惜，但出于权力问题却无能为力。{wc}\n但出于对兄长的不满。恩基找到了宁玛，暗中创造出新的一批人类。{wc}\n这批人类就是现今的黄种人。{wc}\n恩基在这次改造中放入了更多神族的基因。{wc}\n使得创造出来的人类，具备更高的神性，并有接近神族的智商和能力。{wc}\n在恩利尔离开后，恩基把乌尔打造成了当时地面上的庞大城市。{wc}\n并且破天荒的授予他全新创造出的黄种人类只有神拥有的王权，{wc}\n教会他亲自选出的人类王族神的知识，包括宇宙的法则，以及养生的知识。{wc}\n因为恩基的仁慈和对人类特别的怜爱。{wc}\n使得后来地面上的人类都将他树立为最伟大的神。{wc}\n渐渐地人类的王权在地面上成为了主宰。{wc}\n人们开始逐渐的忘记了大神恩利尔的存在。\n
SAY.flowchart_Game_Chapter_05.1510.,,听上去，恩基就是人类的救世主啊。{wc}\n一个背叛自己的种族却关爱人类的伟大的神。
SAY.flowchart_Game_Chapter_05.1511.,,没错，恩利尔一去就是上千年。{wc}\n而这段时间地面上人类和神族达到了真正完美的共处，共同建设美丽的家园。{wc}\n人类的王族也得到了至高无上的知识，同样也想有管理和发展的权利。{wc}\n可惜好景不长。直到恩利尔的回归，看到地面上的这番景象。{wc}\n可以说，从恩利尔的眼中，恩基的这种行为严重触犯了神族法庭的权威。{wc}\n于是展开了耗时多年的神族内部的争论，认为必须终止这次错误的人类创造。{wc}\n如果任凭人类像神族那样的发展，势必最终对世界构成威胁。{wc}\n必须将人类从这个世界上抹除，并再也不能直接授予人类权利和知识。
SAY.flowchart_Game_Chapter_05.1512.,,好吧，这还真的有点戏剧化了。{wc}\n跟很多好莱坞大片的剧情相似啊。
SAY.flowchart_Game_Chapter_05.1513.,,谁也说不准他们的故事的来源来自哪里哦。{wc}\n那么接下来顺理成章的，通过神族多数票选的一致决议，即将开启最大规模的末日洪水。{wc}\n在争议的过程中，恩基一行神族无论怎样说服自己的族群接受新的人类，最终都得到了冷颜相对。{wc}\n而且也在自己的族群中受到了排挤。但因为是大神安的儿子，所以不至于给他定罪。{wc}\n但是恩基知道这次没办法保全全部的人类了，于是冒死的把末日洪水的消息，走漏给了几位他最最信任的人类。{wc}\n于是这世界上最著名的诺亚方舟的故事就诞生了。{wc}\n提前得知洪水将要摧毁一切的时候，“诺亚”听从他们最最爱戴的大神恩基的教诲，{wc}\n开始收集物种和建造巨大的船只。{wc}\n具体的真实历史不一定完全符合诺亚方舟的故事。但是至少可以肯定的就是其中一部分苏美尔人。{wc}\n在末日洪水疯狂肆虐全世界的之后，奇迹般的存活下来了。\n
SAY.flowchart_Game_Chapter_05.1514.,,好吧，真是有点替他们捏把汗啊。{wc}\n也就是说大洪水真的夺去了世界上的众多人类的生命咯？
SAY.flowchart_Game_Chapter_05.1515.,,的确，但是存活下来的苏美尔人，继承了大神恩基的智慧，勇敢的重新一点点的建起了自己家园。{wc}\n对于他们来说，恩基就是他们唯一的真神，真正怜爱人类的神。{wc}\n人们开始痛恨恩利尔一批反对人类获得智慧的神。并编写了很多丑化和恶化恩利尔和其他神族的故事。{wc}\n在重建的苏美尔城市中。人首蛇身的恩基大神的形象成为了唯一膜拜的对象。{wc}\n当神族们察觉到地面上尽有残存的人类的时候，感觉到了这是一场奇迹。{wc}\n于是内部开始动摇对人类的态度。由于恩基等神的游说，这时恩利尔无法直接下令铲除这些人们。{wc}\n起初只有恩利尔家族的子嗣们不满恩基在地面上受到的爱戴。{wc}\n先后在地面上人类的世界展开了很长一段时间的骚扰和战争。{wc}\n最终都因恩基家族的子嗣们的聪明智慧以及更高的神族的暗中协助。{wc}\n最终都战胜了恩利尔家族的子嗣们的攻击。\n
SAY.flowchart_Game_Chapter_05.1516.,,听着真特么痛快。{wc}\n人类万岁，恩基家族万岁。
SAY.flowchart_Game_Chapter_05.1517.,,先别高兴的太早，{wc}\n常年的战争最终对地面的世界造成了毁灭性的创伤。{wc}\n恩基的子嗣马杜克决定，切断神族和人类世界的众多通道。{wc}\n为了维护地面上神族们一手创造出来的人类世界。也同时为了让神族的世界不再受到干扰。{wc}\n他们最终达成协议，人类不再能随意够前往神族世界，{wc}\n而神族没有得到批准也不再能够下凡到人间，祸害人类。{wc}\n在中国的神话传说中，这就是著名的绝地天通。{wc}\n而在很多其他文明的记载中，也都记录了很接近的类似的历史。
SAY.flowchart_Game_Chapter_05.1518.,,感觉也算是破釜沉舟的意思啊。{wc}\n这么说，就是神仙不再能随意来到人间了。人们也没办法前往天国了咯。{wc}\n敢情原来以前神人一家亲啊，怪不得容易出乱子。
SAY.flowchart_Game_Chapter_05.1519.,,是的，绝地天通后。{wc}\n相当于无论恩利尔还是恩基家族的神族们都不再在人类世界轻易出现了。{wc}\n他们往往会化身或者传音的方式跟地面上的人类领袖联系。{wc}\n而人类，则被划分成不同国家，由指定皇族在分别治理。{wc}\n一时间地上的人类再一次进入了繁荣昌盛时期。
SAY.flowchart_Game_Chapter_05.1520.,,挺好，包干到户，自给自足。
SAY.flowchart_Game_Chapter_05.1526.,,只可惜恩利尔在天上还是不甘心这样的局面。{wc}\n于是他就处心积虑的设计出了全新的计谋来对付，当时的人类。{wc}\n他假装一改之前对人类冷漠的态度，主动开始靠近人类的君王，并授予他们医疗和农业的知识。{wc}\n逐渐缓和了恩利尔在人类群体中的形象和地位。{wc}\n但是由于他对自己弟弟恩基的私人怨恨，让他开始暗中扰乱人类秩序，企图让人类自取灭亡。\n
SAY.flowchart_Game_Chapter_05.1527.,,我去，这老家伙可真够坏的啊。{wc}\n他后来都干了什么？
SAY.flowchart_Game_Chapter_05.1528.,,恩利尔慈颜善目的掩藏了自己的恶意，开始在中亚地区辅佐好几个不同人类的族群。{wc}\n并授予北方闪米特族人的祖先以至高无上的王权。{wc}\n就是著名的萨尔贡王，并承诺协助他们推翻苏美尔王国。{wc}\n恩利尔还做了一件非常险恶用意的事情，就是发明全新的文字，{wc}\n让中亚以及欧洲地区的各个人类族群开始使用不同的文字和语言。{wc}\n导致当时还比较单纯的人类文明遭到了各种重创。
SAY.flowchart_Game_Chapter_05.1539.,,这里要提一下的是，根据我们的研究，我们认为，所谓苏美尔人，自称自己是黑头人，{wc}\n很多历史可以考证的方式可以判断出他们曾经是黄色人种。{wc}\n并且当时只有黄种人被授予了神的血脉和知识。{wc}\n因此黄种人在人类群体中地位是很高的，一般都是皇室人员。{wc}\n而当时的闪米特族人还处在比较野蛮的时期，并没有得到神的眷顾。{wc}\n而黑人一直以来都是被当做奴隶的，当然在恩基的时期，{wc}\n就算黑人也得到了很高的待遇，也同样参与家园的维护和建设。
SAY.flowchart_Game_Chapter_05.1529.,,你这么说，感觉作为黄种人的我，莫名的有点优越感啊！
SAY.flowchart_Game_Chapter_05.1530.,,先别高兴的太早。{wc}\n接下来就是最关键的故事了。
SAY.flowchart_Game_Chapter_05.1531.,,太好了，感觉终于要进入到正题了。
SAY.flowchart_Game_Chapter_05.1532.,,在恩利尔暗中支援下，趁恩基家族没有防备的时候，{wc}\n萨尔贡王带领了北方的白人族群，展开了对苏美尔王国的进攻。{wc}\n一场被操控的人类战争拉开了帷幕。{wc}\n而在恩利尔家族暗中帮助下，萨尔贡王，得到了多方的支援，最终占领了苏美尔最大的城邦。{wc}\n并最终把参与的苏美尔王室赶出了苏美尔的城邦。{wc}\n遭到重创的苏美尔民族的皇室家族，被迫向西方和东方撤离。{wc}\n与此同时，历史上大肆鼓吹的伟大的古巴比伦时期拉开了帷幕。
SAY.flowchart_Game_Chapter_05.1533.,,原来巴比伦是这么来的啊！？
SAY.flowchart_Game_Chapter_05.1558.,,是的，在攻占了苏美尔王国的初期，这些北方白人族群，在恩利尔的蛊惑和指使下，表现出了短暂的大度，{wc}\n一时间苏美尔和巴比伦文明再两河流域保持了共存的局面。{wc}\n而恩利尔的如意算盘是让白人领导的萨尔贡王朝，一步步窃取苏美尔的文明，{wc}\n并将其改造和改编，最终成为巴比伦文明的遗产。{wc}\n偷梁换柱，最终使得巴比伦王朝大肆崛起。{wc}\n然而当时的白人自身因为族群没有多年的文明的熏陶，很快就显露出致命的问题。{wc}\n那么就是，他们太过贪婪。甚至有的时候公然反对恩利尔的指令。
SAY.flowchart_Game_Chapter_05.1559.,,果然都是一些恶人，臭味相投啊。
SAY.flowchart_Game_Chapter_05.1560.,,恩利尔虽然摧毁苏美尔文明成果的目的达成了。{wc}\n但是出乎他的意料的就是，自己一手扶持的白人新文明漏洞百出。{wc}\n于是他又开始新一轮的“宏观调控”。{wc}\n于是接二连三的欧洲文明在两河流域这块土地上交替的相互取代，战争不断。文明再次进入了混沌的时代。{wc}\n最终恩利尔吸取了前车之鉴，不在以正面身份的主导任何事情。{wc}\n而是创建了森严的秘密组织，并以宗教的名义幕后管理和统治这些新人类建立起来的文明。{wc}\n并且对地面上残存的苏美尔文明进行大量的同化，改变文字，篡改历史。{wc}\n丑化恩基家族族群的神族的形象，把他们比喻成丑陋的蛇妖和恶龙。{wc}\n毁坏了大部分具有宝贵知识的书籍。并创立了以闪米特族人为首，强力服从的新宗教。{wc}\n也就是早期的犹太教以及更古老的宗教，再到强推基督教盛行，这背后都是恩利尔为首的秘密组织协力实现的。{wc}\n说到这里，关于共济会的前身就慢慢能够看出端倪了吧。
SAY.flowchart_Game_Chapter_05.1561.,,如果我没有理解错误的话，你是想说现今世界的这个秘密组织，{wc}\n和恩利尔大神有关？
SAY.flowchart_Game_Chapter_05.1544.,,没错，根据我们的研究和推测，这个说法十分可靠。{wc}\n这也就是为什么，这些神秘的组织能够获得宝贵的知识的原因。{wc}\n因为他们所听信的就是创造人类的安奴纳奇人恩利尔家族。{wc}\n当然，人类最近4千年的历史上，还发生了很多时间，并且有着更丰富和详细的记载。{wc}\n如果你用心的话，就会发现哪些是在讲述真实的历史，哪些是后来人杜撰或篡改得了。
SAY.flowchart_Game_Chapter_05.1545.,,好吧，听了这么长的故事。突然间感觉到，人类的命运好悲催啊。{wc}\n感觉从一开始被创造出来就是个错误，好容易得到了些眷顾，快活了一段时间。{wc}\n又遭受了这么多的悲剧，唉。。。{wc}\n听得我略绝望啊。
SAY.flowchart_Game_Chapter_05.1546.,,我能理解你的心情，但不管你相信还是拒绝。{wc}\n这很可能就是我们人类最真实的历史了。{wc}\n再后来的情况其实在很多古老的文明中都有相应的记载。{wc}\n不过还有一些事情，可以让你产生一些希望，那就是我接下来要说的故事了。{wc}\n想听么？
SAY.flowchart_Game_Chapter_05.1429.,,那么为什么我们先进的世界不是这样的呢？{wc}\n而且我们的科学一直都否认神创造人类的，观点。{wc}\n你这么说岂不是与科学相悖？{wc}\n达尔文的进化论可以证明，宇宙大爆炸理论，{wc}\n并可以解释我们人类是经过上万年的自然演变进化成的。{wc}\n这一切要如何解释呢？\n
SAY.flowchart_Game_Chapter_05.1430.,,这些问题问得好。{wc}\n的确刚才所说的创世论与现今的所谓自然科学完全相悖。{wc}\n我们也坚信，真相只会有一个。{wc}\n这就需要我们静下心来。{wc}\n抛开世俗，发自内心的去寻找真相，{wc}\n才能判断到底谁对谁错。
SAY.flowchart_Game_Chapter_05.1431.,,按照你们目前说的理论，我猜你们认为现在的科学观点是错误的咯？\n
SAY.flowchart_Game_Chapter_05.1432.,,科学是一种观察和证实世界的方法。{wc}\n单纯从方法上来说，它是十分有意义的。{wc}\n但是很多所谓的科学观点，{wc}\n完全是建立在所谓科学家们的假设上，利用连环公式推算出的东西。{wc}\n就不一定那么有价值了。{wc}\n不过想要搞清楚这些对立面。{wc}\n我们需要再次重新梳理一下现在的知识体系。{wc}\n你有兴趣了解么？
SAY.flowchart_Game_Chapter_05.1433.,,当然，女神说的什么我都信！~
SAY.flowchart_Game_Chapter_05.1434.,,你啊，还是那么的不着边际。{wc}\n那么雅克布，这部分让我来试着跟王浩来解释吧。\n
SAY.flowchart_Game_Chapter_05.1435.,,当然可以，我从不怀疑你的智慧。{wc}\n那么我先去照顾客人们了。
SAY.flowchart_Game_Chapter_05.1436.,,雅克布说完离开了这个虚拟空间，\n屋子里就剩下了凯瑟琳和王浩两个人。
SAY.flowchart_Game_Chapter_05.1373.,,等等，让我猜猜。{wc}\n感觉这个故事跟很多电影里的桥段很类似嘛！{wc}\n最后人类和神发生战争了？
SAY.flowchart_Game_Chapter_05.1374.,,有意思！{wc}\n这个剧情像极了西部世界的故事啊。{wc}\n人类从不善待机器人，想尽一切办法让他们为人所用，任其摆布。{wc}\n最终机器人崛起了。天呐！你是说人类最终崛起了！？代替了神？{wc}\n这也太酷了吧！？
SAY.flowchart_Game_Chapter_05.1375.,,好吧，你把我要说的都说的七七八八了。{wc}\n你是真的想知道真相么？{wc}\n怎么感觉我不需要在说下去了呢？好像你全都知道了。
SAY.flowchart_Game_Chapter_05.1376.,,请大人息怒，我只不过是听你说的太投入了，{wc}\n情不自禁的乱说一气，你快告诉吧。{wc}\n这可是我长这么大听得最带劲的一个故事了！
SAY.flowchart_Game_Chapter_05.1382.,,我的天呐。我被彻底震撼了！{wc}\n虽然我的大脑在不断地想找出理由来拒绝你所说的。{wc}\n但是这个故事实在太震撼了。我的心在不停的颤动！{wc}\n虽然还有好多问题，但是比起现代科学所解释的，{wc}\n我们是浩瀚宇宙中最不起眼的星系里最不起眼的星球里的随机生物。{wc}\n我更相信你所说的这个起源。至少很多问题都顺理成章的可以解释的清楚了。{wc}\n所以，我觉得我得到了满意答案。{wc}\n我是谁？我从哪里来？都被解释了。{wc}\n很想听你说说，我们要到哪里去呢？\n
SAY.flowchart_Game_Chapter_05.1383.,,好吧。没错，战争最终爆发了。{wc}\n但是发动的不是人，而是神们内部。两派神各持己见。{wc}\n为了是否给与人类平等的知识和共处的权利，他们产生了巨大的分歧。{wc}\n更是火上浇油的就是，其中倾向人类的神族，{wc}\n擅自创造了一批新的人类，并放入了自己的基因。{wc}\n并主动授予他们知识，给与他们王的称号。{wc}\n这一行进彻底惹怒了另一批反对给与人类自由的神族。{wc}\n与此同时神族内部因为权力的争夺。矛盾更加激化了。{wc}\n战争最终在神族之间拉开帷幕。{wc}\n很显然战争中当炮灰的都是人类。生灵涂炭。{wc}\n最终反对的一方启动了最大规模的末日洪水。{wc}\n同时神族内部达成一致，短暂“离开”这个世界，不再回来。{wc}\n但意想不到的就是，爱护人类的一方的神，出于对人类的怜爱。{wc}\n帮助了一小部分人类躲过了洪水。大水过后，再次在大地上繁衍起来。{wc}\n说到这里，终于切入了你问的这个庞大问题的题目了。{wc}\n我们是谁？我们是在大洪水后残存下来的人类。{wc}\n不知道这个答案是否能解答你心中的问题。\n
SAY.flowchart_Game_Chapter_05.1384.,,我懂，我也理解。{wc}\n一下子把整个宇宙的历史说清楚实在是太难了。{wc}\n不过我不得不说，雅克布。{wc}\n你说的很好，我很容易理解。
SAY.flowchart_Game_Chapter_05.1385.,,哟，嘴巴越来越甜了嘛！？{wc}\n这话说得我们雅克布一定很开心。{wc}\n知音难觅啊，呵呵。
SAY.flowchart_Game_Chapter_05.1386.,,明白！{wc}\n相当明白。
SAY.flowchart_Game_Chapter_05.1387.,,你还真是打破砂锅问到底啊！{wc}\n我先说明一下。刚刚跟你说的故事，你尽量从逻辑和理论上去理解。{wc}\n并且，有太多遗漏的内容，没法一下子说清楚。
SAY.flowchart_Game_Chapter_05.1388.,,真是阴险啊。{wc}\n这帮神族玩的比我们阴险多了。{wc}\n这么想想，这些所谓的神，也不是都是好人啊。
SAY.flowchart_Game_Chapter_05.1389.,,哪里。。。好吧，刚才解释了我们是谁？{wc}\n简而言之，我们是带有宇宙代言人基因的分管代言人。{wc}\n我们从哪里来？{wc}\n很显然，物理上，我们是那些正统代言人，神们创造出来的分管代言人。{wc}\n在意识层面，我们承载了更大更多意识体的能量。 {wc}\n这样说你明白么？
SAY.flowchart_Game_Chapter_05.1390.,,你是说其实那些神话故事都是真是发生过的故事吗？{wc}\n希腊神话，波斯神话，中国的神话。{wc}\n被你这么一说，感觉好像这些神话故事好像真的有那么点联系哦！{wc}\n真神奇！\n
SAY.flowchart_Game_Chapter_05.1391.,,好吧，那么我来继续梳理大洪水过后的人类的历史.{wc}\n洪水的目的其实本来是把世界上的一切人类抹掉。同时神们也短暂离开了。{wc}\n但是因为怜爱人类的神的帮助，一部分人类坚强的活下来了。{wc}\n并按照神的交代和吩咐，在这片土地上再次建立起了辉煌的文明。{wc}\n当时的人类把关照他们的神的形象做成雕像供拜，期待着有一天神的再次降临。{wc}\n的确神再次出现，和人类共创了，辉煌的苏美尔文明。{wc}\n但是真相总归会败露的，反对方的神发现了人类的存活，而且只拥护怜爱他们的神，大为愤怒。{wc}\n于是处心积虑的创造出新的一批人类用于对抗苏美尔文明。{wc}\n说是创造，其实只不过是给一群蛮族封了王位，并且给了他们武器。{wc}\n于是一场，人类文明的大战就此拉开了帷幕。\n
SAY.flowchart_Game_Chapter_05.1392.,,好，大神说什么我都洗耳恭听。
SAY.flowchart_Game_Chapter_05.1393.,,你说的没错，但又不那么准确。{wc}\n这一点我之后再跟你细说吧。{wc}\n不管怎样，你就先撇开成见，听我跟你说。{wc}\n是的，说到这里我一直没有跟你提这些所谓的神，{wc}\n或者说是宇宙意识体的化身。他们其实和我们一样是有幻化出的个体。{wc}\n并且在全世界不同的古老文明里都有被提到过。{wc}\n那些所谓的神话传说，只不过是由于记载不够详细，或是被错误翻译，{wc}\n因此和事实产生了一层薄纱，在被所谓的历史学家们冠上了所谓神话传说的头衔。{wc}\n变得一文不值了。
SAY.flowchart_Game_Chapter_05.1394.,,当然想啦！不要告诉我他是特朗普？。{wc}\n要不就是耶稣基督？天使们？
